                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.1868,                 5.1246,                 4.4101,                0.00029,                0.08642,                0.00016,                  4e-05,                      0,                    inf,                      0,                 0.0847,                 0.0017,                 0.0017
                      1,                 3.9647,                 4.5594,                 4.2835,                0.00029,                0.08642,                0.00016,                  4e-05,                      0,                    inf,                      0,               0.068465,              0.0034654,              0.0034654
                      2,                 3.8059,                 4.2067,                 4.2247,                0.00037,                0.11111,                0.00022,                  6e-05,                      0,                    inf,                      0,               0.052195,              0.0051951,              0.0051951
                      3,                 3.7117,                 3.8544,                 4.1188,                0.00033,                0.09877,                0.00018,                  5e-05,                      0,                    inf,                      0,               0.035889,              0.0068891,              0.0068891
                      4,                 3.4833,                  3.624,                 3.9302,                0.00033,                0.09877,                0.00018,                  5e-05,                      0,                    inf,                      0,               0.019548,              0.0085476,              0.0085476
                      5,                  3.141,                 3.2584,                 3.6916,                0.00144,                0.32099,                0.00286,                0.00075,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      6,                 3.1255,                 3.2975,                  3.547,                0.11739,                0.32099,                 0.0932,                0.02983,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 3.0063,                 3.0262,                 3.4248,                0.13146,                0.33448,                0.08977,                0.02233,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                 3.0203,                 2.9755,                 3.2822,                0.15258,                0.46914,                0.14055,                0.03682,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 2.7719,                 2.7045,                 3.1142,                0.27307,                0.25046,                0.16363,                0.04389,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                 2.8254,                 2.6315,                 3.1363,                0.10666,                 0.2716,                0.06185,                0.01736,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                 2.6479,                 2.4507,                 3.0147,                  0.222,                 0.4321,                0.23219,                0.08051,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                 2.6909,                 2.4416,                  3.006,                0.15504,                0.45679,                0.18646,                0.05794,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                 2.5859,                  2.377,                 2.9459,                0.20364,                0.45679,                0.19721,                0.06761,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                 2.4435,                 2.2152,                 2.8542,                0.19026,                0.50617,                 0.1757,                0.05698,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                 2.5192,                 2.1782,                 2.9021,                0.23248,                0.33333,                0.16065,                0.05272,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                 2.2952,                 2.0542,                 2.6878,                0.62516,                0.54321,                0.51056,                0.18736,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                 2.2896,                 2.0263,                 2.6642,                 0.4345,                0.55021,                0.41765,                0.16371,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                 2.2951,                 1.9093,                 2.6719,                0.24601,                0.37037,                0.30878,                0.10329,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                 2.2346,                 1.7003,                 2.5967,                0.55018,                0.63424,                0.54892,                0.22503,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                 2.0699,                 1.7752,                 2.5172,                0.55157,                0.51852,                0.58097,                0.26947,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                 2.1366,                 1.6707,                 2.5277,                0.63817,                0.58795,                0.65825,                0.31772,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                 2.0695,                 1.6639,                 2.4812,                0.72421,                0.60494,                0.71776,                0.34271,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                 2.0518,                 1.6919,                  2.469,                0.66308,                0.55556,                0.61557,                0.22919,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                 1.9538,                 1.6103,                 2.4176,                0.60439,                0.71672,                0.70732,                0.36496,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     25,                 1.9457,                 1.5978,                 2.4136,                0.76042,                 0.7037,                0.82875,                0.49433,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     26,                  1.917,                 1.4765,                 2.3306,                0.83439,                0.68428,                0.80577,                0.37836,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                 1.8593,                 1.3742,                 2.2731,                 0.8501,                0.77778,                0.86977,                0.52081,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                 1.7765,                 1.3441,                 2.2077,                0.68669,                 0.7284,                 0.7963,                 0.4765,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     29,                 1.7846,                 1.3865,                 2.2229,                0.82752,                0.69136,                0.83437,                0.45511,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     30,                 1.6796,                 1.2908,                 2.0812,                0.68477,                0.74074,                0.74616,                0.42716,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     31,                 1.7048,                  1.301,                 2.1093,                0.88266,                0.83951,                0.90823,                0.50491,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     32,                 1.7185,                 1.2898,                  2.104,                0.79064,                0.81481,                  0.877,                0.42275,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     33,                 1.6603,                 1.2379,                 2.1082,                0.76884,                0.71605,                 0.7903,                0.49696,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     34,                 1.6067,                 1.2343,                 2.0266,                0.88688,                0.74074,                 0.8738,                0.49209,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     35,                 1.5584,                 1.2028,                 1.9792,                0.87635,                  0.875,                0.93816,                0.54672,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     36,                 1.5826,                 1.1879,                  2.009,                0.93519,                0.83951,                0.93755,                0.57722,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     37,                 1.5244,                 1.1832,                 1.9784,                0.88531,                0.85185,                0.94414,                0.59075,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     38,                 1.5923,                 1.2045,                 1.9542,                0.90258,                0.76543,                0.90485,                0.55727,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                 1.4946,                 1.1343,                 1.9015,                0.91084,                0.82716,                0.90486,                0.58265,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.4431,                 1.0482,                  1.865,                0.86507,                0.87071,                0.94221,                0.63984,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                 1.4818,                 1.1255,                 1.8695,                0.91907,                0.81481,                0.92623,                0.60414,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.4103,                 1.0445,                 1.8171,                0.87309,                0.84935,                0.93048,                0.59992,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                 1.4076,                 1.0326,                 1.8463,                0.89212,                0.81481,                0.89833,                0.54748,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                 1.3832,                 1.0011,                 1.7814,                0.95807,                0.91358,                0.97193,                0.67514,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                 1.3177,                0.98102,                 1.7557,                 0.8285,                0.80247,                0.85956,                0.46769,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.4284,                 1.0128,                 1.7864,                0.85059,                0.91373,                0.95342,                0.61677,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                 1.3608,                0.97361,                 1.7812,                0.90187,                0.96296,                 0.9792,                 0.7057,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                  1.325,                 0.9933,                 1.7704,                0.89726,                0.75476,                0.89138,                0.58088,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                 1.3291,                 1.0438,                 1.7493,                  0.936,                0.90276,                0.97131,                0.69334,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                 1.2474,                0.91597,                 1.6653,                0.96742,                0.85185,                0.97001,                0.67421,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                 1.3022,                0.97575,                 1.7241,                0.93359,                0.88889,                0.97114,                0.68678,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                 1.2792,                0.90118,                 1.6858,                 0.9551,                0.78784,                0.91056,                0.57626,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                 1.2699,                0.93879,                 1.6801,                 0.9014,                0.93827,                0.97052,                0.70597,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                 1.2342,                0.91657,                 1.6681,                0.93824,                0.93782,                0.96906,                0.72169,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                 1.2426,                0.90866,                 1.6595,                0.93951,                0.95882,                0.98383,                0.72275,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                 1.2516,                0.95272,                  1.646,                 0.9589,                0.86407,                0.96403,                0.71191,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                 1.2761,                0.95482,                 1.6979,                0.91025,                0.91358,                0.94915,                0.59157,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                 1.1952,                 0.8565,                 1.6126,                0.93859,                0.94348,                0.97764,                0.73495,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                 1.2296,                0.89649,                  1.641,                  0.922,                0.92593,                0.97644,                0.74154,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                  1.181,                0.83436,                 1.5982,                0.93644,                0.90946,                 0.9597,                0.72234,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                 1.1964,                0.85345,                 1.6315,                0.95052,                 0.8642,                0.94917,                0.67924,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                 1.2067,                0.86707,                 1.6159,                0.94553,                0.88889,                0.95806,                0.67828,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                 1.1558,                0.83343,                  1.552,                0.96231,                0.90123,                0.96608,                0.70515,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                 1.1248,                0.75256,                  1.543,                0.91687,                0.96296,                0.97651,                0.75416,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                 1.1239,                0.78393,                 1.5464,                0.95664,                0.93827,                0.98018,                0.73362,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                 1.1228,                0.80894,                 1.5655,                0.92877,                0.96582,                0.97822,                0.75426,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                  1.114,                0.79074,                 1.5561,                0.93044,                0.95062,                0.97529,                0.75016,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                 1.1426,                0.86365,                 1.5611,                0.95161,                0.97117,                0.98012,                0.75617,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                  1.129,                0.85081,                 1.5525,                0.93517,                0.97531,                0.97366,                0.73637,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                 1.0865,                 0.7929,                  1.532,                0.93847,                0.94159,                0.97664,                0.75198,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                 1.0807,                0.80225,                 1.4974,                0.96333,                0.97291,                0.98179,                 0.7483,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                  1.105,                0.79918,                 1.5115,                0.98712,                0.94624,                0.98577,                0.74489,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                 1.1262,                0.80598,                 1.5623,                0.96484,                0.93827,                0.98393,                0.75701,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                 1.0732,                0.78952,                 1.5206,                0.96285,                0.95986,                0.98335,                0.74969,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                 1.0539,                 0.7867,                 1.4995,                0.99668,                0.92593,                 0.9845,                 0.7636,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                 1.0397,                0.72325,                 1.4783,                0.94989,                0.95062,                0.98389,                0.75326,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                 1.0589,                0.73913,                 1.4738,                0.96781,                0.88889,                0.96154,                0.64092,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                 1.0552,                0.73402,                  1.489,                0.95131,                0.96477,                0.98151,                 0.7731,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                 1.0639,                0.73114,                 1.4873,                0.98031,                0.92593,                0.98745,                0.74604,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                 1.0834,                0.74479,                 1.4624,                      1,                0.93368,                0.98725,                0.75167,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                 1.0411,                0.79521,                 1.4786,                0.98354,                0.96296,                0.98283,                 0.7458,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                 1.0324,                0.74653,                 1.4814,                0.97477,                0.95062,                0.98841,                0.78211,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                 1.0224,                0.71294,                 1.4528,                0.96464,                0.96296,                0.99107,                0.80485,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                 1.0795,                0.72573,                 1.4827,                0.94971,                0.96296,                0.98356,                0.76304,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                 1.0142,                0.71803,                  1.461,                0.99141,                0.96296,                  0.989,                0.78651,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                 0.9923,                0.71189,                 1.4111,                  0.961,                0.96296,                0.98654,                0.78072,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                 1.0027,                0.70334,                 1.4825,                0.98713,                 0.9473,                0.97461,                0.72661,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
